symbol,name,stockExchange,currency
ANTXUSD,AntNetworX USD,CCC,USD
FOLOUSD,Alpha Impact USD,CCC,USD
LSDUSD,Liquid Staking Derivatives USD,CCC,USD
MONGUSD,MongCoin USD,CCC,USD
MONGOOSEUSD,Mongoose USD,CCC,USD
AIRXUSD,Aircoins USD,CCC,USD
EQPAYUSD,EquityPay USD,CCC,USD
OSKUSD,OSK USD,CCC,USD
CORGIUSD,Corgidoge USD,CCC,USD
ETHFAIUSD,ETHforestAI USD,CCC,USD
QUBEUSD,Qube Crypto Space USD,CCC,USD
QUADUSD,Quadency USD,CCC,USD
VGOUSD,Virgo USD,CCC,USD
NFTIUSD,NFT Index USD,CCC,USD
SENDUSD,Social Send USD,CCC,USD
PBXUSD,Paribus USD,CCC,USD
MONKEUSD,Space Monkey Token USD,CCC,USD
VOICEUSD,Voice Token USD,CCC,USD
MSHAREUSD,Meerkat Shares USD,CCC,USD
ESPRUSD,Espresso Bot USD,CCC,USD
QTFUSD,Quantfury Token USD,CCC,USD
MONKEYSUSD,Monkeys Token USD,CCC,USD
MONKEDUSD,MONKED USD,CCC,USD
SYNRUSD,MOBLAND USD,CCC,USD
SEANUSD,Starfish Finance USD,CCC,USD
RINGXUSD,RING X PLATFORM USD,CCC,USD
NAOSUSD,NAOS Finance USD,CCC,USD
PROPCUSD,Propchain USD,CCC,USD
MIBUSD,MIB Coin USD,CCC,USD
MARTKUSD,Martkist USD,CCC,USD
LYXEUSD,LUKSO (Old) USD,CCC,USD
ARMORUSD,ARMOR USD,CCC,USD
XMRUSD,Monero USD,CCC,USD
MOVERUSD,Mover USD,CCC,USD
MONKEXUSD,Monkex USD,CCC,USD
BAYUSD,CryptoBay USD,CCC,USD
TRUUSD,TrueFi USD,CCC,USD
MCBUSD,MUX Protocol USD,CCC,USD
P2PSUSD,P2P Solutions foundation USD,CCC,USD
BLCTUSD,Bloomzed Loyalty Club Ticket USD,CCC,USD
ADKUSD,Aidos Kuneen USD,CCC,USD
CWTUSD,CrossWallet USD,CCC,USD
LUNESUSD,Lunes USD,CCC,USD
PSYUSD,PsyOptions USD,CCC,USD
SWIPEUSD,Swipe Bot USD,CCC,USD
DZOOUSD,Degen Zoo USD,CCC,USD
BEANSUSD,Moonbeans USD,CCC,USD
ENQUSD,Enecuum USD,CCC,USD
MP3USD,MP3 USD,CCC,USD
MUTANTUSD,MUTANT PEPE USD,CCC,USD
ABRUSD,Allbridge USD,CCC,USD
KISHUUSD,Kishu Inu USD,CCC,USD
HOODUSD,Hood AI USD,CCC,USD
OAXUSD,OAX USD,CCC,USD
MVSUSD,Multiverse USD,CCC,USD
USVUSD,Universal Store of Value USD,CCC,USD
BIRUSD,Birake USD,CCC,USD
FYPUSD,FlypMe USD,CCC,USD
XTKUSD,xToken USD,CCC,USD
MEEDUSD,Meeds USD,CCC,USD
MONUSD,PocMon USD,CCC,USD
DUCKERUSD,Duckereum USD,CCC,USD
RELIUSD,Relite Finance USD,CCC,USD
WAMUSD,WAM USD,CCC,USD
PAFUSD,Pacific USD,CCC,USD
SPURDOUSD,spurdo USD,CCC,USD
ADMCUSD,Adamant USD,CCC,USD
MXGPUSD,MXGP Fan Token USD,CCC,USD
BLOXUSD,Blox Token USD,CCC,USD
KACYUSD,Kassandra USD,CCC,USD
MOVEYUSD,Movey Token USD,CCC,USD
OXBTUSD,OXBT USD,CCC,USD
PARADOXUSD,The Paradox Metaverse USD,CCC,USD
POLCUSD,Polkacity USD,CCC,USD
CRAMERUSD,Cramer Coin USD,CCC,USD
CHAINUSD,Chain Games USD,CCC,USD
BCDNUSD,BlockCDN USD,CCC,USD
VERSAUSD,VersaGames USD,CCC,USD
STIMAUSD,STIMA USD,CCC,USD
HAKAUSD,TribeOne USD,CCC,USD
MBEUSD,MxmBoxcEus Token USD,CCC,USD
BAOUSD,Bao Finance (old) USD,CCC,USD
MIMUSD,Magic Internet Money USD,CCC,USD
